 
2026-09-19T20:50:07+00:00
 
| Name                             | Version   | License                              |
|----------------------------------|-----------|--------------------------------------|
| andexor-grass-spider-rdap-module | 1.0.0     | Apache-2.0                           |
| anyio                            | 4.15.1    | MIT                                  |
| certifi                          | 2026.7.22 | Mozilla Public License 2.0 (MPL 2.0) |
| h11                              | 0.16.0    | MIT License                          |
| h2                               | 4.4.1     | MIT                                  |
| hpack                            | 4.2.0     | MIT                                  |
| httpcore                         | 1.0.9     | BSD-3-Clause                         |
| httpx                            | 0.28.1    | BSD License                          |
| hyperframe                       | 6.1.0     | MIT License                          |
| idna                             | 3.19      | BSD-3-Clause                         |
| typing_extensions                | 4.16.0    | PSF-2.0                              |
| whodap                           | 0.1.16    | MIT                                  |
 
2026-09-25T07:29:42+00:00
 
| Name                             | Version   | License                              |
|----------------------------------|-----------|--------------------------------------|
| Jinja2                           | 3.1.6     | BSD License                          |
| MarkupSafe                       | 3.0.3     | BSD-3-Clause                         |
| PyYAML                           | 6.0.3     | MIT License                          |
| Pygments                         | 2.21.0    | BSD-2-Clause                         |
| a2wsgi                           | 1.10.10   | Apache-2.0                           |
| agent-detector                   | 2.0.0     | MIT                                  |
| andexor-grass-spider-rdap-module | 1.0.0     | Apache-2.0                           |
| annotated-doc                    | 0.0.5     | MIT                                  |
| annotated-types                  | 0.8.0     | MIT                                  |
| anyio                            | 4.15.1    | MIT                                  |
| certifi                          | 2026.7.22 | Mozilla Public License 2.0 (MPL 2.0) |
| click                            | 8.5.0     | BSD-3-Clause                         |
| detect-installer                 | 0.2.1     | 0BSD                                 |
| dnspython                        | 2.8.0     | ISC License (ISCL)                   |
| email-validator                  | 2.3.0     | The Unlicense (Unlicense)            |
| fastapi                          | 0.141.1   | MIT                                  |
| fastapi-cli                      | 0.0.32    | MIT                                  |
| fastapi-cloud-cli                | 0.26.0    | MIT License                          |
| fastar                           | 0.12.0    | MIT                                  |
| h11                              | 0.16.0    | MIT License                          |
| httpcore                         | 1.0.9     | BSD-3-Clause                         |
| httptools                        | 0.8.0     | MIT                                  |
| httpx                            | 0.28.1    | BSD License                          |
| idna                             | 3.19      | BSD-3-Clause                         |
| markdown-it-py                   | 4.2.0     | MIT License                          |
| mdurl                            | 0.1.2     | MIT License                          |
| pydantic                         | 2.13.5    | MIT                                  |
| pydantic-extra-types             | 2.11.1    | MIT                                  |
| pydantic-settings                | 2.15.0    | MIT                                  |
| pydantic_core                    | 2.46.5    | MIT                                  |
| python-dotenv                    | 1.2.3     | BSD-3-Clause                         |
| python-multipart                 | 0.0.32    | Apache-2.0                           |
| rich                             | 15.0.0    | MIT License                          |
| rich-toolkit                     | 0.20.5    | MIT                                  |
| rignore                          | 0.8.1     | MIT                                  |
| sentry-sdk                       | 2.69.1    | MIT                                  |
| shellingham                      | 1.5.4     | ISC License (ISCL)                   |
| starlette                        | 1.6.0     | BSD-3-Clause                         |
| typer                            | 0.27.2    | MIT                                  |
| typing-inspection                | 0.4.4     | MIT                                  |
| typing_extensions                | 4.16.0    | PSF-2.0                              |
| urllib3                          | 2.7.0     | MIT                                  |
| uvicorn                          | 0.53.0    | BSD-3-Clause                         |
| uvloop                           | 0.22.1    | Apache Software License; MIT License |
| watchfiles                       | 1.2.0     | MIT License                          |
| websockets                       | 17.1      | BSD-3-Clause                         |
| zttp                             | 0.0.33    | BSD-3-Clause                         |
